"gene","nes","pval"
"ZBTB43",0.393846914975475,0.693694064828453
"TRPS1",-0.393845943619897,0.693694782020563
"GATA3",0.393722779182717,0.693785721655618
"ZNF407",-0.393181066976377,0.694185752359928
"ZFP57",-0.392920820842256,0.694377963023304
"HOXB2",-0.392337344919797,0.694808973769893
"ZNF502",-0.392008004201494,0.695052299688376
"NR2C2",0.391070127480878,0.695745400672449
"KLF9",-0.389595637872508,0.69683557824395
"THRA",-0.388591893477945,0.697578064465179
"CTCF",-0.3884299355298,0.69769789457681
"ZNF37A",-0.388259701354681,0.697823856263546
"ZNF577",-0.38703889109704,0.698727416401614
"ZFP69",-0.386837302614392,0.698876659499421
"ZNF382",0.385613609514957,0.699782852436941
"TFCP2",-0.385373631816405,0.699960615574425
"TIGD6",-0.382690925033852,0.701948943952249
"ZBTB40",-0.381438439821491,0.70287794225063
"ZKSCAN1",-0.3809504854251,0.703239989954278
"ZNF3",-0.380172160489259,0.703817623265565
"ZNF318",-0.378475710718248,0.705077234233923
"CSRNP2",0.377218884745558,0.706010947180418
"SETBP1",-0.377053163738743,0.706134096616886
"ZNF883",0.375960019401252,0.706946619057949
"BCL11A",-0.37592414038204,0.706973293213112
"ETV1",-0.373300216401231,0.70892501540586
"ESR1",0.370627682560002,0.710914860567862
"NCOA1",-0.369102028066231,0.712051677340871
"TBX1",-0.368357936684436,0.712606357456727
"PRRX1",-0.367671075459024,0.713118510535833
"ADNP2",-0.36661784225757,0.713904097396761
"ZNF420",0.366487713783623,0.714001178854907
"ZFX",-0.366238176683008,0.714187357253318
"ESRRA",-0.365375073503801,0.714831445418816
"ZNF22",-0.365009183448638,0.715104551116079
"L3MBTL1",0.364812047508378,0.715251711392728
"ZNF134",-0.364222580531028,0.715691806518742
"NFAT5",-0.364116942958366,0.715770685354378
"ZNF117",-0.363541469682144,0.716200440484232
"ZNF282",-0.36311730252147,0.716517259962935
"KLF5",0.360080147129939,0.718787198704986
"SAFB",-0.359603054930114,0.719143998709527
"ZNF428",-0.359276406228858,0.719388322771962
"ZNF791",0.359028095328083,0.719574071543246
"ZNF844",0.356233296568208,0.721665858303902
"ZNF776",-0.354450511817528,0.72300128545719
"ZNF202",-0.352800838943931,0.724237754781056
"TRAFD1",-0.352130442265198,0.724740439017311
"ZNF546",-0.351863866292567,0.724940358945028
"DACH1",-0.351625548813514,0.725119102157022
"TCF20",-0.351469325964083,0.725236280767493
"ZNF273",-0.349234273669867,0.726913437433028
"GTF2IRD2B",0.348072113728545,0.727786026423997
"NR3C2",0.347819089952209,0.727976052068861
"PBX2",-0.345026952049081,0.730074108658365
"ZNF500",-0.342922760253611,0.731656568632848
"MSANTD3",-0.341035603298324,0.733076779098695
"ZNF224",-0.339704141672395,0.734079342441128
"ZNF774",0.338893775439859,0.734689753755576
"THAP3",-0.337919266311242,0.735424028310735
"TCF7L1",-0.33779070957953,0.735520911493284
"ZNF280D",-0.336880532811491,0.736206960996566
"NFX1",-0.335996522945482,0.736873488497297
"CEBPZ",-0.335211131449379,0.737465825642461
"XPA",-0.333984946146222,0.738390918313604
"PBX3",-0.33361835538767,0.73866756549969
"TERF2",-0.333589231986094,0.738689544883855
"ZNF268",-0.333097834595673,0.739060433886053
"HIC1",0.332687185159005,0.739370423820654
"HEY1",-0.332598136766462,0.739437650019512
"DR1",-0.332480788811074,0.73952624373277
"GFI1",-0.332470800168563,0.739533784977629
"TCF3",-0.331987360906495,0.739898802822829
"ZNF813",-0.329989759929274,0.741407699543062
"ZNF212",-0.329351007945626,0.741890393874045
"NR1D2",-0.328046694391132,0.742876357325309
"ZNF773",-0.324995231043096,0.745184681031969
"BNC2",-0.3245996589015,0.745484085420019
"MAX",-0.324110735228765,0.745854199721306
"ZBED1",-0.323569594975153,0.746263910258795
"FAM200B",-0.323539163541049,0.746286952774534
"ZNF71",-0.323522525431208,0.746299551156387
"ZNF251",-0.323400879819839,0.746391663310677
"ZNF616",-0.322668314009139,0.746946451351704
"ZNF12",-0.319705948536516,0.74919124999979
"ZNF567",-0.318915034911677,0.749790942961209
"BCL11B",-0.318796347623847,0.74988094806449
"STAT1",0.318044435689455,0.750451230684111
"HOXB7",-0.317963112222819,0.750512918106829
"ZSCAN2",-0.315968630331942,0.752026318642566
"CENPB",-0.314836094140764,0.752886105129927
"ZNF490",-0.314485264410426,0.753152506472464
"ZNF614",-0.31162777960605,0.755323419754617
"ZNF467",-0.310747865436954,0.755992306031103
"SP1",-0.310503418694528,0.756178160132189
"ZNF33A",-0.308414331352398,0.757767078284753
"SMAD4",-0.30810735581642,0.758000644199405
"CHAMP1",0.307503271286642,0.758460333448692
"TP53",-0.307459086075716,0.758493960352271
"ZNF681",-0.306835817086994,0.758968344315786
"SRCAP",-0.306756136967693,0.759028997180747
"REXO4",-0.306425101503453,0.759280998734121
"NR3C1",-0.306022526501647,0.759587494379742
"ZNF688",-0.305767401186889,0.759781750527088
"TTF1",-0.305325252993838,0.760118444513371
"RBSN",-0.304590035082951,0.760678410462788
"MBD6",-0.304035870402665,0.761100563269012
"ZFHX3",0.302252317150823,0.762459724733855
"ZNF528",-0.30120698318417,0.763256665148331
