"regulon","avg_log2FC","pval","gene","p_val_adj","sig"
"ELF1(+)",0.184957945407201,0,"ELF1",0,"NS"
"HBP1(+)",0.179786191187331,0,"HBP1",0,"NS"
"ZNF101(+)",0.178255297340313,0,"ZNF101",0,"NS"
"MTERF4(+)",0.178150209762441,0,"MTERF4",0,"NS"
"SKIL(+)",0.175682834156925,0,"SKIL",0,"NS"
"STAT5A(+)",0.170166135206741,0,"STAT5A",0,"NS"
"RARA(+)",0.163641472429967,0,"RARA",0,"NS"
"CENPA(+)",0.102904387650728,0,"CENPA",0,"NS"
"JUND(+)",0.0990946133983737,0,"JUND",0,"NS"
"IRF1(+)",0.0917064352152816,0,"IRF1",0,"NS"
"PRDM1(+)",-0.657173652413061,0,"PRDM1",0,"NS"
"ASCL2(+)",-1.19694446116498,0,"ASCL2",0,"Upregulated in Mature Cytotoxic NK"
"KLF3(+)",-0.986924073712578,3.94467938758952e-310,"KLF3",3.45717655761383e-309,"NS"
"MYBL1(+)",-0.804461317315146,8.6775092190833e-301,"MYBL1",7.53402435937232e-300,"NS"
"TBX21(+)",-0.817217370037877,6.59164204536169e-300,"TBX21",5.6700328334639e-299,"NS"
"KLF13(+)",-0.538889777202763,6.46864302459517e-281,"KLF13",5.51318290811827e-280,"NS"
"KLF2(+)",-0.590613408300269,1.63423925062493e-271,"KLF2",1.38018933075505e-270,"NS"
"AKNA(+)",-0.621956022907077,1.33013718758363e-203,"AKNA",1.11324094348215e-202,"NS"
"ZNF90(+)",-0.391977640047226,3.17207887239731e-201,"ZNF90",2.63112613612241e-200,"NS"
"ZNF276(+)",-0.528569359873496,2.21938529945598e-198,"ZNF276",1.82460968424301e-197,"NS"
"ZEB2(+)",-0.523829397935648,8.26407512242385e-173,"ZEB2",6.73449630590505e-172,"NS"
"ETS1(+)",-0.274734110779969,7.65356243987222e-150,"ETS1",6.18274739707939e-149,"NS"
"RORA(+)",-0.33176163008458,5.84745877995521e-138,"RORA",4.68300793670551e-137,"NS"
"ZBTB7A(+)",-0.269133799448478,2.13540202827452e-123,"ZBTB7A",1.69554571304874e-122,"NS"
"RUNX3(+)",-0.303047205307836,6.05082309730471e-113,"RUNX3",4.76374123508142e-112,"NS"
"IKZF1(+)",-0.32604268073657,6.20178045324181e-112,"IKZF1",4.84155801769886e-111,"NS"
"SON(+)",-0.133486678014331,8.19280388281042e-100,"SON",6.34259567260907e-99,"NS"
"YY1(+)",-0.177006166270553,2.35528496741157e-90,"YY1",1.80831383035153e-89,"NS"
"MEF2C(+)",-0.458028812204427,4.0459250567875e-89,"MEF2C",3.08087244078327e-88,"NS"
"ZBTB44(+)",-0.357575339478856,1.73846340594731e-86,"ZBTB44",1.31303455619923e-85,"NS"
"MXD4(+)",-0.256491384378317,1.2488500060953e-83,"MXD4",9.35630367469784e-83,"NS"
"ZNF655(+)",-0.310739248687068,6.45247827665897e-75,"ZNF655",4.79548185521295e-74,"NS"
"ZNF207(+)",-0.113758426217818,2.10458412811776e-69,"ZNF207",1.55171321827095e-68,"NS"
"TFEB(+)",-0.58485158927972,5.06897082282813e-68,"TFEB",3.70793220032074e-67,"NS"
"MAF(+)",-0.346630956786176,1.94601629253118e-65,"MAF",1.41238213731364e-64,"NS"
"GLMP(+)",-0.371354644276082,1.61438074590636e-64,"GLMP",1.1626044286411e-63,"NS"
"ZNF765(+)",-0.560479640989199,2.06671230239057e-63,"ZNF765",1.47690440686219e-62,"NS"
"ZNF672(+)",-0.293851870893188,1.85704180212681e-62,"ZNF672",1.31694033143192e-61,"NS"
"REST(+)",-0.148892907103976,1.54719549744157e-61,"REST",1.08889743721456e-60,"NS"
"ZNF292(+)",-0.299223177061308,6.82401667055673e-59,"ZNF292",4.76654999018587e-58,"NS"
"ELK1(+)",-0.638522635534808,1.46985938546913e-58,"ELK1",1.01902937992598e-57,"NS"
"CREBZF(+)",-0.170852746465284,2.35125098536797e-58,"CREBZF",1.61800901141247e-57,"NS"
"ZNF182(+)",-0.375075701314986,4.70354127830894e-56,"ZNF182",3.21293371143309e-55,"NS"
"HOXB4(+)",-0.539919169166014,2.84537458492429e-55,"HOXB4",1.92945473678443e-54,"NS"
"ATF6B(+)",-0.285127787255021,1.02085928359237e-53,"ATF6B",6.87230633664717e-53,"NS"
"KLF9(+)",-0.362681750107244,4.28735754535236e-53,"KLF9",2.86543536664197e-52,"NS"
"FOXD2(+)",-1.01187474806457,1.02954524502192e-50,"FOXD2",6.83176809018114e-50,"Upregulated in Mature Cytotoxic NK"
"TERF1(+)",-0.17920566389893,1.18457238795518e-47,"TERF1",7.80473580432883e-47,"NS"
"MAZ(+)",-0.107185437150044,1.30655157688615e-43,"MAZ",8.54779165441715e-43,"NS"
"ZNF775(+)",-0.650049197137381,2.31358298855723e-42,"ZNF775",1.5030199974613e-41,"NS"
"ZBTB38(+)",-0.199110425859742,2.36944113783062e-42,"ZBTB38",1.52861862294767e-41,"NS"
"IRF3(+)",-0.183105277521402,3.73689328176935e-42,"IRF3",2.39418886811291e-41,"NS"
"XBP1(+)",-0.150906037924975,7.13824665760579e-42,"XBP1",4.54207612665464e-41,"NS"
"ZFPM1(+)",-0.281768364913723,3.42953974200086e-41,"ZFPM1",2.16737579613524e-40,"NS"
"ZNF175(+)",-0.392438679263546,5.32118534454082e-39,"ZNF175",3.34012242235029e-38,"NS"
"ZNF582(+)",-0.345069905954307,5.58519874228639e-38,"ZNF582",3.48231518898259e-37,"NS"
"PBX2(+)",-0.297274834652466,1.98573389990675e-34,"PBX2",1.22983119534225e-33,"NS"
"HMGN3(+)",-0.098790179308057,2.83700785260577e-33,"HMGN3",1.74541741395414e-32,"NS"
"ARNTL(+)",-0.320687032906182,6.29478411075893e-32,"ARNTL",3.84727265716779e-31,"NS"
"NFATC3(+)",-0.142089727246105,1.8729697925542e-31,"NFATC3",1.1372476714267e-30,"NS"
"POU5F2(+)",-0.355242816056332,2.92163368522269e-31,"POU5F2",1.76246603478693e-30,"NS"
"SMAD5(+)",-0.200199046998734,7.24500407303426e-31,"SMAD5",4.3423282476444e-30,"NS"
"ZNF620(+)",-0.587111494961944,1.15570489995728e-30,"ZNF620",6.88237084654049e-30,"NS"
"GTF2I(+)",-0.0777249183399407,5.04179964644777e-30,"GTF2I",2.98333240226113e-29,"NS"
"ZNF181(+)",-0.439181827066823,5.45532222947224e-30,"ZNF181",3.20759136150615e-29,"NS"
"ZSCAN32(+)",-0.222762912859422,1.22735104656396e-29,"ZSCAN32",7.17112655508124e-29,"NS"
"ZNF446(+)",-0.429817769515723,1.95816888584443e-29,"ZNF446",1.13696180934342e-28,"NS"
"ZNF92(+)",-0.294305318536179,8.4360735953544e-29,"ZNF92",4.86777165843742e-28,"NS"
"ZNF619(+)",-0.553040853851033,1.84845472176666e-28,"ZNF619",1.06000891143285e-27,"NS"
"E2F2(+)",-0.161783736182959,1.02166439354797e-27,"E2F2",5.82286025525194e-27,"NS"
"ZKSCAN1(+)",-0.18835511087258,1.61973214556313e-27,"ZKSCAN1",9.17519001968382e-27,"NS"
"KMT2B(+)",-0.281099865068517,2.50935947506053e-27,"KMT2B",1.41284542565529e-26,"NS"
"ZNF91(+)",-0.169597766427971,2.96731073655628e-27,"ZNF91",1.66062149051854e-26,"NS"
"SLC2A4RG(+)",-0.141727990192965,3.52915193004151e-27,"SLC2A4RG",1.96322284012489e-26,"NS"
"REPIN1(+)",-0.14348671335419,1.01431948083539e-26,"REPIN1",5.60894522438139e-26,"NS"
"ZNF510(+)",-0.347490045267851,2.37230676206882e-26,"ZNF510",1.30406685323191e-25,"NS"
"ZNF785(+)",-0.23178262363058,2.5281713716568e-26,"ZNF785",1.38157129662892e-25,"NS"
"MAFK(+)",-0.25638629372042,4.23333405722344e-26,"MAFK",2.29986394102957e-25,"NS"
"TBX19(+)",-0.539481017331908,5.85076299073611e-26,"TBX19",3.16009233627549e-25,"NS"
"ZNF487(+)",-0.301012331620753,3.72037391758005e-25,"ZNF487",1.99781928868894e-24,"NS"
"GTF3A(+)",-0.0820350248179119,6.18981702320539e-25,"GTF3A",3.30479311181483e-24,"NS"
"SP3(+)",-0.187961007866623,1.21564858353661e-24,"SP3",6.4533573377458e-24,"NS"
"ZNF428(+)",-0.0906761341678204,4.83741529515469e-24,"ZNF428",2.55338568704472e-23,"NS"
"ZFAT(+)",-0.495362983524637,2.81968621213427e-23,"ZFAT",1.47993700060606e-22,"NS"
"ZNF789(+)",-0.145095202884016,1.81525872486113e-22,"ZNF789",9.47401885053925e-22,"NS"
"FOXN3(+)",-0.162771281337862,3.09923318235727e-22,"FOXN3",1.60848470749157e-21,"NS"
"ZNF430(+)",-0.26685593221275,1.10918084222757e-21,"ZNF430",5.72460556905229e-21,"NS"
"DRAP1(+)",-0.0721512484923009,1.92292451436604e-21,"DRAP1",9.86959598809973e-21,"NS"
"E4F1(+)",-0.304326690697689,3.19474588343064e-21,"E4F1",1.63072468445443e-20,"NS"
"DNMT1(+)",-0.0573286295347357,3.74640665973105e-21,"DNMT1",1.90186436442084e-20,"NS"
"SETBP1(+)",-0.247989599172581,3.88544284214979e-21,"SETBP1",1.96172630454193e-20,"NS"
"MBD2(+)",-0.0860414944639448,8.97261574446355e-21,"MBD2",4.50570812249007e-20,"NS"
"NR1D2(+)",-0.220421940755836,1.41016231063473e-20,"NR1D2",7.04323003537452e-20,"NS"
"MYSM1(+)",-0.306189352043972,1.53154794642546e-20,"MYSM1",7.60859915630614e-20,"NS"
"ZNF273(+)",-0.266941700098081,1.60306991331426e-20,"ZNF273",7.92155292270716e-20,"NS"
"PIN1(+)",-0.0745447248473819,2.57408520798924e-20,"PIN1",1.26525140646667e-19,"NS"
"ELF2(+)",-0.186010491512491,3.30444012476567e-20,"ELF2",1.61569730310911e-19,"NS"
"DR1(+)",-0.0931138533864944,3.73193615283564e-20,"DR1",1.81516685130069e-19,"NS"
"ZNF580(+)",-0.249332777803372,7.4113534535773e-20,"ZNF580",3.58601424915277e-19,"NS"
"BPTF(+)",-0.122910063804704,8.991282845686e-20,"BPTF",4.32792837494419e-19,"NS"
"EBF4(+)",-0.638806054875249,1.29379036488096e-19,"EBF4",6.19552190192995e-19,"NS"
"NFIC(+)",-0.123621150734667,1.35228888472077e-19,"NFIC",6.44244294310559e-19,"NS"
"PHF20(+)",-0.162106505033939,1.81564752123061e-19,"PHF20",8.60579871032261e-19,"NS"
"PA2G4(+)",-0.0674710667255953,2.71108121443796e-19,"PA2G4",1.27847433919435e-18,"NS"
"CDC5L(+)",-0.079916863386937,3.28443471405141e-19,"CDC5L",1.54103022694634e-18,"NS"
"SP2(+)",-0.262576996671826,9.44046071748997e-19,"SP2",4.40712965153175e-18,"NS"
"ZNF467(+)",-0.413165934161259,3.00038770432417e-18,"ZNF467",1.39368008865858e-17,"NS"
"PHF19(+)",-0.0577527329487455,3.44782598441822e-18,"PHF19",1.59354743259927e-17,"NS"
"ZNF721(+)",-0.1837841174322,4.75533022008652e-18,"ZNF721",2.18698107646553e-17,"NS"
"ZNF419(+)",-0.36425988033906,5.04312312251779e-18,"ZNF419",2.30791201025568e-17,"NS"
"TFAP2E(+)",-0.32654294617682,5.18733373019284e-18,"TFAP2E",2.36227109575939e-17,"NS"
"CEBPG(+)",-0.201414095464552,5.39433656455536e-18,"CEBPG",2.44455544803509e-17,"NS"
"TFDP2(+)",-0.140968067319874,5.87759595899192e-18,"TFDP2",2.65062458539004e-17,"NS"
"CASZ1(+)",-0.186570972213159,6.64538555629196e-18,"CASZ1",2.97612078813703e-17,"NS"
