"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","NK_cluster"
"GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_DN",2.90497239106617e-07,7.18980666788877e-05,0.674962860011025,-0.707631137555344,-2.20254136043589,59,"CCL5;GZMA;FGFBP2;GZMH;PRF1;CST7;ADGRG1;NKG7;PYHIN1;SYNE2;LAG3;TIGIT;ANXA2;S100A4;GBP5;TTC38;CTSC;STARD3NL;EFHD2;CD99;CLEC2B;PTPN22;RAB27A;NEDD9","3"
"GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_DN",7.17509237586767e-06,0.00118389024201817,0.610526878385931,0.77807295803333,2.09999739181797,41,"SELL;IL7R;CCR7;TCF7;RGCC;ZFP36L2;BTG1;DDX5;FOSB;HSP90AB1;FOS;SATB1;EIF1;SOCS3;DUSP1;NPM1","3"
"KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_DN",2.11038641848747e-05,0.00261160319287824,0.575610261071129,0.762114701130186,2.0569264978503,41,"SELL;IL7R;CCR7;TCF7;RGCC;ZFP36L2;TNFAIP3;DDX5;FOSB;FOS;SATB1;EIF1;IER2;SOCS3;DUSP1;NPM1","3"
"GSE9650_EXHAUSTED_VS_MEMORY_CD8_TCELL_DN",3.4461730761798e-05,0.003411711345418,0.557332238758646,0.753835067863983,2.01437729957038,38,"SELL;IL7R;CD44;KLRC1;TAGLN2;FOS;SATB1;EIF1;ITGAX;ANXA1;LDHA;DUSP1","3"
"GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP",4.1929715320032e-05,0.00345920151390264,0.557332238758646,-0.687639322087208,-2.04580190483653,46,"GZMA;CD247;GZMH;PRF1;GZMB;CLIC3;NKG7;SYNE2;IL32;CD160;LCK;PTPN4;CD3D;SKAP1","3"
"GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_DN",7.4455896797693e-05,0.00526509555926543,0.538434096309916,-0.801127630649057,-2.03983701474791,20,"GZMH;PRF1;GZMB;IKZF3;ADGRG1;PRSS23;TTC38;PLEK;CLEC2B","3"
"GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_DN",0.000125892421504429,0.00778959358058654,0.518848077743792,-0.659284220084434,-2.0086335464007,52,"CCL5;GZMA;CD247;PRF1;GZMB;CST7;IKZF3;NKG7;LAG3;LCK;FASLG;EFHD2;CD3D;SKAP1;GIMAP7;CD3E;SH2D2A;HLA-C;SYTL2;CISD3","3"
"KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_UP",0.000315032732928702,0.0173268003110786,0.49849310876659,0.82185164617215,1.9544733967883,19,"SELL;IL7R;CCR7;TCF7;RGCC;SATB1","3"
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN",0.000753650325828439,0.0310880759404231,0.477270815362862,-0.654986952769322,-1.9182087517118,42,"GZMA;CCL4;PRF1;GZMB;PRDM1;S100A6;LGALS1;LAG3;MT2A;ANXA2;S100A4;GZMM;FASLG;EFHD2;CD99","3"
"GSE23568_ID3_TRANSDUCED_VS_ID3_KO_CD8_TCELL_DN",0.000741107560525453,0.0310880759404231,0.477270815362862,0.690150667449731,1.87099159143198,42,"SELL;IL7R;CCR7;TPT1;ZFP36L2;MCL1;CD83;DNAJB9;DUSP1;PDE4B","3"
"GSE9650_NAIVE_VS_EFF_CD8_TCELL_DN",0.00067780458720534,0.0310880759404231,0.477270815362862,-0.608593525100358,-1.87288118755267,54,"CCL5;GZMA;PRF1;GZMB;CX3CR1;S100A6;LGALS1;MT2A;ACTB;CD160;ANXA2;S100A4;HMGB2;FASLG","3"
"KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_DN",0.00089119349533781,0.033933906168632,0.477270815362862,0.81503196928834,1.91549722104391,18,"SELL;IL7R;TCF7","3"
"GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD8_TCELL_DN",0.000986797464607126,0.0343718044756112,0.45505986738723,-0.71779259137848,-1.92345595110981,27,"CCL4;PRF1;GZMB;CYBA;NKG7;CSF1;GBP5;EFHD2;PSMB9;LGALS3","3"
"GSE9650_NAIVE_VS_EFF_CD8_TCELL_UP",0.00104194955577959,0.0343718044756112,0.45505986738723,0.784687956223148,1.91866039774722,22,"SELL;IL7R;CCR7;TCF7;RGCC;SATB1","3"
