"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.56047567834185e-69,1.69875189759132,0.769,0.149,5.01635418321584e-65,"5","RPA3"
5.73464570297932e-69,1.55967426370461,0.823,0.164,8.07954233092756e-65,"5","PSMC3"
1.79167480846996e-68,3.13726555152433,0.177,0.008,2.52429063765332e-64,"5","PHGDH"
1.84378225073395e-68,2.56982501098906,0.692,0.144,2.59770481305906e-64,"5","SMC4"
4.62243871782821e-68,1.96443897451337,0.485,0.065,6.51255390954816e-64,"5","KIF22"
1.59313472588616e-67,1.81348164533103,0.777,0.16,2.24456751530102e-63,"5","DNMT1"
1.60177728157761e-67,1.92546273088053,0.738,0.144,2.25674401201469e-63,"5","DDX39A"
2.02699142134833e-67,1.62591520230376,0.608,0.096,2.85582821353767e-63,"5","PRDX3"
2.66617721867925e-67,2.93560062324759,0.169,0.008,3.7563770833972e-63,"5","CEP85"
9.45079172844589e-67,3.25128528796301,0.154,0.006,1.33152204662074e-62,"5","ECT2"
3.78268779243755e-66,3.08365201220091,0.123,0.004,5.32942883076527e-62,"5","NRGN"
9.83343414781181e-66,3.01246368738186,0.138,0.005,1.38543253708521e-61,"5","SUV39H2"
1.02058955671408e-65,3.28358492750501,0.131,0.004,1.43790862645447e-61,"5","ARHGEF39"
1.407210156569e-64,1.61280809782509,0.438,0.055,1.98261838959007e-60,"5","TEX30"
4.73753332042316e-64,1.99372854109847,0.4,0.047,6.67471069514419e-60,"5","MTHFD1"
4.93353094576524e-64,2.90548131901393,0.192,0.011,6.95085174948864e-60,"5","WDHD1"
4.36786462862255e-63,2.7367322261582,0.192,0.011,6.15388447526631e-59,"5","SPDL1"
1.20352753582052e-62,1.54715572062558,0.569,0.091,1.69564994521754e-58,"5","LMNB1"
2.55722646273384e-62,2.14758847165944,0.308,0.029,3.60287636334571e-58,"5","TTF2"
7.92455307930807e-62,2.92876327824863,0.185,0.01,1.11649028334371e-57,"5","POLA1"
8.67326190185493e-62,2.38862721987974,0.331,0.035,1.22197586935234e-57,"5","UNG"
1.69860690722062e-61,2.65727748152187,0.185,0.01,2.39316727158314e-57,"5","CCNE2"
1.92736126493227e-61,1.87838069720783,0.362,0.041,2.71545928616308e-57,"5","RBBP8"
2.17045675429242e-60,2.30074531587702,0.308,0.031,3.05795652112258e-56,"5","NCAPD3"
3.00104648559481e-60,3.69678102349748,0.154,0.007,4.22817439355453e-56,"5","NPW"
3.24021264922208e-60,1.67249864376643,0.369,0.043,4.56513560148899e-56,"5","NUP37"
5.44604581108e-60,1.95331899955988,0.923,0.305,7.67293394323061e-56,"5","ANP32B"
7.93596800541803e-60,1.69343506352262,0.508,0.077,1.11809853228335e-55,"5","TPGS2"
2.22012144606253e-59,2.75160942495533,0.177,0.01,3.1279291053575e-55,"5","CENPP"
2.76308782662962e-59,1.46847502849835,0.7,0.138,3.89291443893847e-55,"5","RNASEH2B"
3.25599177312686e-59,1.62435859210437,0.477,0.069,4.58736680915843e-55,"5","VRK1"
4.0175703960952e-59,2.98941300810984,0.162,0.008,5.66035493105853e-55,"5","TMEM237"
6.57260636150828e-59,1.41629105628569,0.423,0.056,9.26014510272902e-55,"5","RUVBL2"
1.52325583893377e-58,1.85726023268577,0.308,0.031,2.14611515147378e-54,"5","GAMT"
1.78566366631973e-58,2.82483932089211,0.946,0.371,2.51582153947786e-54,"5","HMGB2"
