"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"NABP1",5.21758658201149e-13,1.24094443000517,0.188,0.1,7.35105773539599e-09,"Upregulated in Activated Stressed NK"
"THEMIS2",5.27617595996382e-13,-1.30997250501997,0.049,0.135,7.43360430999302e-09,"Upregulated in Mature Cytotoxic NK"
"IGF2R",6.98573175327197e-13,-1.40570847473981,0.064,0.154,9.84219746718488e-09,"Upregulated in Mature Cytotoxic NK"
"ATXN7",8.56749463119257e-13,-1.59833455430354,0.038,0.115,1.20707431858872e-08,"Upregulated in Mature Cytotoxic NK"
"LAIR1",1.17360866094789e-12,-1.31028362150624,0.038,0.115,1.65349724240948e-08,"Upregulated in Mature Cytotoxic NK"
"DIP2A",1.37924188823381e-12,-1.08246767766934,0.103,0.203,1.94321389633261e-08,"Upregulated in Mature Cytotoxic NK"
"ORAI1",1.57093506143573e-12,-1.00685504319099,0.104,0.205,2.2132904080568e-08,"Upregulated in Mature Cytotoxic NK"
"CTBP2",1.83213289578715e-12,-1.63477618785157,0.047,0.127,2.58129203687452e-08,"Upregulated in Mature Cytotoxic NK"
"P2RY8",2.03297811665552e-12,-1.36645241438993,0.042,0.12,2.86426286855597e-08,"Upregulated in Mature Cytotoxic NK"
"NCR3",2.04857367139382e-12,-1.03334345002591,0.148,0.254,2.88623544562675e-08,"Upregulated in Mature Cytotoxic NK"
"GSAP",2.54874663048901e-12,-1.23445082926926,0.058,0.142,3.59092912769597e-08,"Upregulated in Mature Cytotoxic NK"
"CD226",2.81120270577647e-12,-1.5142525038371,0.052,0.133,3.96070349216846e-08,"Upregulated in Mature Cytotoxic NK"
"HDDC2",3.73626402882534e-12,-1.09831555200959,0.121,0.222,5.26402239021202e-08,"Upregulated in Mature Cytotoxic NK"
"CTDSP1",4.38791110677329e-12,-1.00493668960796,0.091,0.186,6.18212795833289e-08,"Upregulated in Mature Cytotoxic NK"
"DENND3",4.95836912822327e-12,-1.86337083500587,0.037,0.109,6.98584626475376e-08,"Upregulated in Mature Cytotoxic NK"
"RASA3",5.77874482497122e-12,-1.0696175517444,0.064,0.151,8.14167358390195e-08,"Upregulated in Mature Cytotoxic NK"
"CDKN2C",8.18986606474398e-12,1.55309147985433,0.113,0.048,1.15387022986178e-07,"Upregulated in Activated Stressed NK"
"CHORDC1",8.78594682961417e-12,1.08142260136338,0.253,0.161,1.23785204882434e-07,"Upregulated in Activated Stressed NK"
"OSBPL5",1.06598563097489e-11,-1.15731069857252,0.041,0.116,1.50186715548052e-07,"Upregulated in Mature Cytotoxic NK"
"LINC00861",1.11107549689105e-11,-1.16511893449869,0.093,0.185,1.56539426756981e-07,"Upregulated in Mature Cytotoxic NK"
"GAB3",1.46824171887778e-11,-1.49335953626898,0.032,0.101,2.0686057577269e-07,"Upregulated in Mature Cytotoxic NK"
"PRMT9",2.1009940984261e-11,1.05493799963853,0.198,0.112,2.96009058527254e-07,"Upregulated in Activated Stressed NK"
"TCOF1",2.82687601977507e-11,1.45396428756733,0.134,0.065,3.98278562426109e-07,"Upregulated in Activated Stressed NK"
"OASL",3.05422725698324e-11,1.02329550414982,0.196,0.11,4.30310078236368e-07,"Upregulated in Activated Stressed NK"
"RNF125",4.369035035515e-11,-1.01617763747644,0.134,0.229,6.15553346153708e-07,"Upregulated in Mature Cytotoxic NK"
"TBCD",5.35115034112272e-11,1.02679432187988,0.141,0.068,7.5392357156078e-07,"Upregulated in Activated Stressed NK"
"GLA",5.42690728507294e-11,1.54872444321055,0.111,0.048,7.64596967393927e-07,"Upregulated in Activated Stressed NK"
"HLA-DQA1",1.1480017717254e-10,1.09414976395287,0.136,0.067,1.61741969618392e-06,"Upregulated in Activated Stressed NK"
"PFKFB3",1.82754505758855e-10,1.45784832763069,0.1,0.043,2.5748282316365e-06,"Upregulated in Activated Stressed NK"
"GALM",2.06911918133897e-10,1.14571623036396,0.133,0.065,2.91518201458847e-06,"Upregulated in Activated Stressed NK"
"PRR5",2.54279720065106e-10,-1.01270965088602,0.067,0.146,3.58254697599728e-06,"Upregulated in Mature Cytotoxic NK"
"PTTG1",2.63211195799701e-10,1.18726606923175,0.122,0.057,3.70838253762199e-06,"Upregulated in Activated Stressed NK"
"ABHD5",2.72199087047312e-10,1.30589942270802,0.149,0.08,3.83501293740958e-06,"Upregulated in Activated Stressed NK"
"PPP1R14B",3.12976078212887e-10,1.08729755236889,0.152,0.081,4.40951996594136e-06,"Upregulated in Activated Stressed NK"
"ESYT2",3.2478313708871e-10,-1.17112179444547,0.058,0.132,4.57586961844283e-06,"Upregulated in Mature Cytotoxic NK"
"PLEKHA1",3.64131794337464e-10,-1.21757948209897,0.07,0.147,5.13025285042053e-06,"Upregulated in Mature Cytotoxic NK"
"BCL9L",5.77010660725754e-10,-1.42531386206805,0.042,0.107,8.12950319896515e-06,"Upregulated in Mature Cytotoxic NK"
"TGFBR1",9.35942670572928e-10,-1.68529437071196,0.041,0.104,1.3186496285702e-05,"Upregulated in Mature Cytotoxic NK"
"TSC22D1",1.25559433649417e-09,1.3017078426255,0.114,0.054,1.76900686068664e-05,"Upregulated in Activated Stressed NK"
"SLC15A4",1.31706772019266e-09,-1.05541111314727,0.071,0.147,1.85561671097944e-05,"Upregulated in Mature Cytotoxic NK"
"RAB37",1.42655684575661e-09,-1.35319618203772,0.047,0.112,2.00987593998648e-05,"Upregulated in Mature Cytotoxic NK"
