"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.93281490131627e-09,-0.106626370934909,0.354,0.138,0.000139943429144645,"5","TBL1XR1"
1.00277086637565e-08,0.0211973224902591,0.146,0.039,0.000141280387363665,"5","RAD17"
1.00326043795431e-08,0.227212227513055,0.615,0.288,0.000141349363103383,"5","MYH9"
1.0098418208087e-08,0.988275019766436,0.108,0.025,0.000142276614133738,"5","TMEM106A"
1.01035955309124e-08,0.115980740952923,0.731,0.337,0.000142349557435025,"5","ACTN4"
1.02766586381325e-08,-0.242666406297662,0.308,0.114,0.000144787843552649,"5","ZC3H18"
1.0366626756549e-08,0.571009973342786,0.123,0.03,0.000146055404373018,"5","NAP1L5"
1.04030663566093e-08,-0.279462459700778,0.238,0.08,0.000146568801898268,"5","CNOT8"
1.04173738897947e-08,0.455107288545794,0.108,0.024,0.000146770380733318,"5","MAP2K5"
1.04991882895959e-08,0.17907107645358,0.131,0.033,0.000147923063812117,"5","MRI1"
1.05682346142082e-08,-0.0476584405942732,0.3,0.112,0.000148895857479579,"5","STX16"
1.06197482780949e-08,0.232492161950645,0.831,0.417,0.000149621633490079,"5","PRDX5"
1.06280730875101e-08,-0.125771658971402,0.292,0.107,0.00014973892172993,"5","GALNT1"
1.06333041800948e-08,0.422052331880858,0.131,0.033,0.000149812622593355,"5","PDK2"
1.08018865848149e-08,0.00513183098823367,0.285,0.104,0.000152187780093457,"5","CTR9"
1.08059747616063e-08,-1.34834263356176,0.869,0.727,0.000152245378416272,"5","IER2"
1.08748379311141e-08,0.284891706831446,0.146,0.04,0.000153215591611467,"5","MED25"
1.10407516351812e-08,-0.154211930890728,0.431,0.176,0.000155553149788068,"5","TNFAIP8"
1.11373487247479e-08,0.2816323580482,0.208,0.067,0.000156914106182973,"5","VTI1A"
1.11398016427514e-08,0.420980891559036,0.969,0.794,0.000156948665344725,"5","HNRNPA1"
1.11409258980086e-08,0.264405581692816,0.146,0.04,0.000156964504977044,"5","GUCD1"
1.13530066815519e-08,0.285622046752168,0.154,0.043,0.000159952511136384,"5","LRRC40"
1.15581570387792e-08,-0.00116583267748438,0.438,0.181,0.00016284287451936,"5","THOC2"
1.15874615157211e-08,0.204766458107516,0.146,0.04,0.000163255745294995,"5","GCLC"
1.16545507687971e-08,0.0888685052762797,0.177,0.053,0.000164200965781583,"5","BTBD6"
1.1770521809336e-08,0.192845007308999,0.177,0.053,0.000165834881771735,"5","SDCCAG8"
1.19633975212768e-08,0.341342156057237,0.146,0.04,0.000168552307677268,"5","KLHL7"
1.19658735938998e-08,-0.00231626072971558,0.169,0.05,0.000168587193064455,"5","CALHM2"
1.20275548909377e-08,-0.0800978580184699,0.415,0.17,0.000169456220858421,"5","EIF2A"
1.2165867313187e-08,0.301900728301118,0.1,0.022,0.000171404904575492,"5","IPP"
1.25099600377308e-08,0.0130683519030546,0.254,0.089,0.000176252826971589,"5","TAOK1"
1.25760648702263e-08,-0.233540145616999,0.354,0.137,0.000177184177956619,"5","TINF2"
1.28617320327832e-08,-0.227523278256738,0.523,0.221,0.000181208942609882,"5","USP16"
1.2868634057205e-08,-0.0505313274560378,0.377,0.151,0.000181306185231961,"5","HIF1A"
1.29134572388572e-08,0.0469813355773177,0.215,0.071,0.000181937699038259,"5","CYSTM1"
1.29608445219421e-08,-0.0962029507144005,0.392,0.158,0.000182605338469642,"5","UPF2"
1.30091577897929e-08,0.33270125095376,0.154,0.043,0.000183286024100392,"5","DNAJA3"
1.31821700445566e-08,0.48881965421826,0.185,0.058,0.000185723593757759,"5","MAN2A1"
1.3228474490475e-08,-0.0594914050914447,0.269,0.097,0.000186375977096302,"5","B3GNT2"
